Case Study,Sampling Strategy,Robustness,Confidence Difference
Polly,solverBased,0.0,0.0
Polly,solverBased,0.001,-0.2026099836136994
Polly,solverBased,0.002,-0.2397728201514143
Polly,solverBased,0.003,0.153610193443178
Polly,solverBased,0.004,0.0698797683134542
Polly,solverBased,0.005,0.0765167562337606
Polly,solverBased,0.006,0.0346490581939998
Polly,solverBased,0.007,0.0179913497008369
Polly,solverBased,0.008,0.0120924169842312
Polly,solverBased,0.009,0.0038010429760972
Polly,solverBased,0.01,0.0108871139814302
